,fechamento
2025-01-02,36.77
2025-01-03,36.375
2025-01-06,36.2
2025-01-07,36.95
2025-01-08,36.71333333333333
2025-01-09,36.815
2025-01-10,36.894999999999996
2025-01-13,37.035
2025-01-14,36.815
2025-01-15,37.265
2025-01-16,36.98
2025-01-17,37.185
2025-01-20,37.345
2025-01-21,37.29
2025-01-22,37.065
2025-01-23,36.81
2025-01-24,36.625
2025-01-27,37.09
2025-01-28,37.14
2025-01-29,36.925
2025-01-30,37.335
2025-01-31,37.68
2025-02-03,37.525
2025-02-04,37.16
2025-02-05,36.845
2025-02-06,36.82
2025-02-07,36.57
2025-02-10,36.845
2025-02-11,36.815
2025-02-12,36.285
2025-02-13,36.335
2025-02-14,37.41
2025-02-17,37.625
2025-02-18,38.355000000000004
2025-02-19,38.47
2025-02-20,38.480000000000004
2025-02-21,38.42
2025-02-24,38.169999999999995
2025-02-25,37.95
2025-02-26,37.965
2025-02-27,36.65
2025-02-28,35.995000000000005
2025-03-03,35.173
2025-03-04,34.899
2025-03-05,34.625
2025-03-06,34.265
2025-03-07,34.650000000000006
2025-03-10,34.605000000000004
2025-03-11,34.1
2025-03-12,34.125
2025-03-13,34.43
2025-03-14,35.545
2025-03-17,36.17
2025-03-18,36.19
2025-03-19,36.17
2025-03-20,36.275000000000006
2025-03-21,36.785
2025-03-24,36.75
2025-03-25,37.04
2025-03-26,37.394999999999996
2025-03-27,37.635000000000005
2025-03-28,37.435
2025-03-31,37.19499999999999
2025-04-01,37.315
2025-04-02,37.215
2025-04-03,36.089999999999996
2025-04-04,34.57
2025-04-07,33.19
2025-04-08,32.0
2025-04-09,33.3
2025-04-10,31.25
2025-04-11,31.855
2025-04-14,31.735
2025-04-15,31.005000000000003
2025-04-16,31.02
2025-04-17,30.84
2025-04-18,30.861
2025-04-21,30.924
2025-04-22,30.945
2025-04-23,30.575
2025-04-24,30.43
2025-04-25,30.54
2025-04-28,30.4
2025-04-29,30.549999999999997
2025-04-30,30.009999999999998
2025-05-01,30.419999999999998
2025-05-02,30.83
2025-05-05,29.78333333333333
2025-05-06,30.134999999999998
2025-05-07,30.285
2025-05-08,30.78
2025-05-09,30.925
2025-05-12,31.655
2025-05-13,32.165000000000006
2025-05-14,31.925
2025-05-15,31.884999999999998
2025-05-16,32.05500000000001
2025-05-19,31.939999999999998
2025-05-20,32.105000000000004
2025-05-21,31.75
2025-05-22,31.310000000000002
2025-05-23,31.35
2025-05-26,31.305
2025-05-27,31.53
2025-05-28,31.46
2025-05-29,31.27
2025-05-30,30.95
2025-06-02,31.07
2025-06-03,30.2
2025-06-04,29.375
2025-06-05,29.38
2025-06-06,29.63
2025-06-09,29.18
2025-06-10,30.08
2025-06-11,31.060000000000002
2025-06-12,31.805
2025-06-13,32.54
2025-06-16,32.245000000000005
2025-06-17,32.945
2025-06-18,32.879999999999995
2025-06-19,32.9
2025-06-20,32.92
2025-06-23,32.010000000000005
2025-06-24,31.375
2025-06-25,31.245
2025-06-26,31.48
2025-06-27,31.235
2025-06-30,31.39
